athlete_id;Navn;Fødselsår;Første resultatår;Siste resultatår;Alder ved første;Alder ved siste
f8b5c072-54b0-47b1-9818-bc965ff9f853;A. Kvalheim;1973;1967;2006;-6;33
239797db-dab7-44e3-989f-2ac4bef49795;Adrian Nilsen;2009;2013;2022;4;13
14444c45-629a-4325-9f82-7c61fdc5bdad;Albert Jacobsen;1893;2025;2025;132;132
5ca7503c-8642-471e-95ef-467edd6efc7f;Alex Pedersen;1891;2013;2013;122;122
c0706b49-cec3-481d-91d5-a3ab8dcfcaa1;Alexander Tesfamariam (ERI);2013;2013;2013;0;0
cb439ea0-c535-4a66-add0-bb4c35891353;Alf Halstvedt;1897;2019;2019;122;122
465a0f44-a3b5-4567-8808-8d233112093d;Anders Gjeldnes;1995;1995;1995;0;0
81a06050-4d5f-42af-9261-07ddc6a15113;Andreas Askerud;1998;1998;1998;0;0
f6aeb14a-280f-407a-bb1f-cf2a74ee869c;Andreas Fjell Halvorsen;2018;2018;2018;0;0
8f2f8b71-070d-4b1e-8fe1-00ad4ddf6ea2;Arne Gulbrandsen;1896;2019;2019;123;123
3ba69d81-f5f0-42a4-9158-2ffb52bd9552;Arne Randmæl;1900;2023;2023;123;123
21a71738-02ab-44ba-a5ba-68296be777e0;Asle Bækkedal;1896;2020;2021;124;125
6efa3c81-d636-4a6a-a282-f89629e3617e;Astrid Skiri Refsdal;2015;2015;2015;0;0
225d2dd0-fdee-4b8e-b82f-199474fbf8aa;Bjarne Guldager;1897;2021;2021;124;124
29a5cc0b-9bf8-44c2-9633-3358d7247176;Bjarne Kløvstad;1889;2024;2024;135;135
0e325b3b-4637-4fa3-acaf-690501c9f7df;Bjørg Marifjæren;1991;1977;1977;-14;-14
0f34388f-c720-4a05-9b0f-d73aae442cff;Bjørnar Grønslett;1975;1971;1971;-4;-4
7acda79e-ba5e-4663-8749-20d0ec5cae94;Brit Øiestad;1976;1980;1980;4;4
5615bb2f-5200-4171-b3b9-49bc9fde8f25;C. Sørum;1968;1972;1996;4;28
9954c98a-5c69-4460-9dcd-d79c73a408de;Caroline Pedersen;1990;1990;2008;0;18
f1758390-592f-4d96-8ef4-59a3b67a5a9f;Carstein Hauge;1900;2024;2024;124;124
59631d09-455a-4ad3-ac57-e724bcbd3b77;Charles Hoff;1902;1922;2025;20;123
4b778eb7-9ad1-4df1-808d-ba0e7d97a235;Edvard Larsen;1881;2008;2008;127;127
5e77c886-acec-4fc3-b8ca-4af1a4a98a0e;Einar Halvorsen;1890;2020;2020;130;130
4150c2ff-6d40-417c-87f5-82e205a6d348;Einar Ræder;1896;2018;2020;122;124
0f0bfaa3-459d-4ae5-9657-5ffddf980ba8;Einar Svendsen;1901;2024;2024;123;123
ec403d34-d194-46fb-aa04-bdbb28eaddb9;Elin Serina Vik Johannessen;2015;2015;2015;0;0
79e19a10-a432-414f-bb1f-576af8d82818;Elise Brook;1979;1983;1983;4;4
0e64e26e-c4d6-4529-a1d3-19fc8d01a377;Erik Manskow;1900;2024;2024;124;124
0dfbf2a0-b7bd-4a77-909e-aa74843da4c9;Erik Skjæveland;1897;2019;2019;122;122
508774a8-f9a4-49c2-830f-8bdb8fbcc59d;Erling Aastad;1898;2025;2025;127;127
81d09835-7bac-47a9-bdcd-2f9a825e0bf6;Erling Juul;1897;2020;2021;123;124
f3dac2e7-f14e-4a28-b7dd-005562b59c17;Erling Strand;1900;2024;2024;124;124
42cba413-fc83-4bcf-9850-aea332897736;Erling Thorsnes;1896;2017;2017;121;121
bf3e3b74-8b94-4e6f-8ade-d3ffa4700756;Erling Vinne;1892;2017;2017;125;125
16655d12-2d9d-4818-94c4-186ee1935b82;Erling Waage;1995;1936;1936;-59;-59
51002965-dfea-4dfb-8fe1-036fd3c55940;Ferdinand Bie;1888;2012;2012;124;124
b4cdb56b-9aa1-49ee-b51f-fa20942ec58a;Fredrik Solheim;2007;2011;2021;4;14
6547b922-98eb-4c12-b705-3771d634b7d4;Fritz Fredriksen;1898;2025;2025;127;127
538d7133-704d-477c-9f7e-7b20583bbd5a;Fritz Warendorph;1894;2015;2015;121;121
160088c4-6d41-4454-8683-7e7ebc531eea;Georg Danielsen;1894;2016;2016;122;122
1977bc72-d818-4fac-802c-6630220affd5;Georg Iversen;1897;2015;2015;118;118
4ee05b82-14b6-49ee-95dd-0cf50ea27e69;Georg Sørbø;1898;2020;2020;122;122
033d979d-9836-4a10-9ac7-632e0818d098;Gudmund Olsen;1960;1945;1989;-15;29
7f3ee4d2-b6a3-4f5c-8f9a-f8db6310f9c7;Gudmund Olsen;1975;1977;1977;2;2
5f455b44-2f29-48a2-b19e-b811a1c1176e;Gudmund Skrivervik;2021;2012;2013;-9;-8
8cc2ee3a-137c-4c0e-970d-377275a7dc52;Gunnar Stenersen;1901;2021;2021;120;120
c9a32aa6-4370-4976-9432-be022fba32d8;Helen Lexberg;1975;1979;1979;4;4
9076c1de-32ee-4c82-82f1-eb293e031513;Helge Eriksen;1959;1962;1962;3;3
6b962414-64dd-4642-9f7d-b57af521fd8f;Helge Løvland;1890;2019;2021;129;131
6a495cdc-c4b5-42fa-8b2a-024485d4c06c;Herman Sandor Baranyi-Berge;2003;2003;2026;0;23
2b9b03b7-8b62-495f-aa74-57ecc193a5eb;Hilmar Bruu;1900;2023;2023;123;123
c85d004b-6819-4fe6-8973-3447cb4030e6;Ida Bakke Hansen;1993;1973;2019;-20;26
51e1b95d-2030-4985-90f7-036c97c56040;Ida Elise Nymoen Eltervaag;2013;2013;2013;0;0
0914444f-5cf8-4fa4-94a7-d254db1e6c67;Ingrid Sundseth;1975;1978;1978;3;3
5ffab1a0-f664-494c-a616-7291df056863;Ivar Rino Husby;1987;1985;2012;-2;25
91f8456d-c214-476b-99b2-686e19b193d9;Iver Moen;2004;2008;2020;4;16
f8a63a66-5794-4b55-98f2-f7d9ca7bfd01;Jacob Erstad;1898;2019;2019;121;121
8326e1f4-b9cc-4315-ba88-49196794cbfc;Jakob Ingebrigtsen;2014;2014;2014;0;0
b517ac35-4447-4d4f-97ec-1a834c5729b2;Jan Haavind;1968;1969;1969;1;1
5d5d7997-835b-46af-94f4-1079a2fbbd94;Jan Hegland;1961;1964;1989;3;28
3dae747d-4d1a-47e3-aeba-0f514a1856e2;Johan Jacobsen;1898;1935;2024;37;126
74065ea4-485e-40e5-9f52-c746f17c79ed;Johan Johannesen;1898;2018;2019;120;121
9f9c14f0-bf43-4b03-b8c4-807a2a24c991;Johan Palm;1893;2021;2021;128;128
6622d2bd-ecd2-47a2-abfd-16c611890baa;Johan Skaaluren;1884;2021;2021;137;137
bcbe1d32-c3d0-4470-8922-2893f8124591;Johan Trandem;1899;1928;2025;29;126
a063075b-4ab0-4856-afd1-e020f5a5e8f1;John Halvorsen;1986;1983;1983;-3;-3
eeacc780-c544-441b-ab0c-1c5ef7c5ed52;John Halvorsen;1966;1966;1995;0;29
365f4836-cfa6-4ba3-b91b-c86b8724f271;John Stange;1893;2016;2016;123;123
ce71a9a7-38f8-446e-804a-68e566deb107;Jon-Erik Sagli;1982;1985;2006;3;24
bc3cf460-c090-439f-bf44-94489ceea5e8;Julie Haugland;2009;2012;2021;3;12
a88e91fb-4130-4712-a36e-4a2415fb10a8;Juni Gjertsen Barkbu;2001;2001;2016;0;15
e700eb7e-b05a-49f8-869a-47e508fa499b;Jørgen Olsen Austnes;1994;1994;2017;0;23
b2e2de8d-5cd9-4b43-8e20-914d93e0fa72;Kaare Bache;1898;2020;2020;122;122
946c72ee-771f-4319-9300-5227dbe48034;Karoline Bjerkeli Grøvdal;2006;2006;2006;0;0
1786368e-83ac-42a0-a0a9-3da7d3ad3af5;Knut Sollid;1999;1936;1936;-63;-63
9b0d1efc-e06a-4a0f-ac88-ac8e387b9bfc;Kristian Nilsen;1999;1933;1933;-66;-66
e968954b-2606-47cc-bc29-08fde2e7b06b;Lars Agnar Hjelmeset;2001;2001;2024;0;23
4b98bb3d-400a-4c19-9884-fd825d2bec8a;Lauritz G. Bryhn;1895;2021;2021;126;126
2d0a5475-7d38-4a1d-8bfd-7526b644e0da;Lauritz Schibbye;1892;2015;2015;123;123
96e5844d-8e85-42a1-9da4-21e750b7f7e7;Leif Ingulf Widnæss;1878;2007;2007;129;129
cd67b222-535a-4b55-879b-f58fad9d097a;Leif Veland;1970;1968;1968;-2;-2
4c5e837c-bad4-463c-8f10-a62a717a0744;Leopold Bermann;1903;2025;2025;122;122
c98b3dcc-fcb0-4d1a-92cd-a14ee69ff84f;Lilli Margaret Gulbrandsen;2018;2018;2018;0;0
855f12cd-66ed-47bc-be6c-809c3c0ce541;Magne Stangeland;1978;1980;1980;2;2
5149b5e1-d1aa-4f28-ba42-0618233398b9;Marius Emil Salvanes;2013;2013;2013;0;0
