New Athletes Report - 2026-02-13 13:23:17
Total: 93 new athletes
============================================================

  Linda Røstad (F, 1982) - Ranheim IL
  Trude Jensen (F, 1946) - Kongsvinger IL
  Linda Sæther (F, 1971) - IL Stålkameratene
  Annika Tollefsen (F, 1995) - Kristiansands IF
  Cecilie Bjørnemo (F, 1990) - Egersunds IK
  Mari Eide Godtfredsen (F, 1989) - Bækkelagets SK
  Kristine Hansen (F, 1977) - IL Runar
  Kristine Bjørvik Andersen (F, 1977) - Eidanger IL
  Anne Lorentzen (F, 1966) - FIL Bamse
  Yasuna Jatta (F, 1996) - IL i BUL
  Kaja Rolfsen (F, 1989) - Larvik TIF
  Siri Rostoft (F, 1974) - IL i BUL
  Mette Nilsen (F, 1964) - Laksevåg TIL
  Thore Lachmann-Mørch Bøe (F, 1936) - TIF Viking, Bergen
  Anne Lise Sandberg Hansen (F, 1939) - Tønsbergs TF
  Anne Mette Strand (F, 1955) - Fagernes IL
  Lise Pedersen (F, 1961) - Fana IL
  Anna Skaset (F, 1965) - IL i BUL
  Ruth Lang Hansen (F, 1970) - Lia IL
  Kari Anne Wiig (F, 1985) - Kristiansands IF
  Iselin Pedersen Trejos (F, 1991) - Minerva IS
  Thea Næss (F, 1982) - IL Tyrving
  Kristin Pedersen (F, 1971) - Os TF
  Kristin Bakken (F, 1963) - Strindheim IL
  Elisabeth Grimstad (F, 1974) - Hareid IL
  Inger Karin Almås (F, 1963) - Mosjøen IL
  Randi Berg (F, 1968) - Byåsen IL
  Anette Nygård (F, 1967) - Fredrikstad IF
  Tonje Larsen (F, 1982) - Rustad IL
  Anne Kristin Knudsen (F, 1977) - IL Fri
  Kristine Solberg (F, 1980) - Ask IL
  Emilie Ørneseidet Larsen (F, 1991) - IL Runar
  Marthe H. Hundhammer (F, 1996) - IL Norna-Salhus
  Mari Kyllesø (F, 1979) - Sandnes IL
  Inger-Johanne Nyland (F, 1956) - Ringerike FIK
  Kari Heim Pedersen (F, 1957) - Strengereid IL
  Ingrid Ellingsen (F, 1950) - IL Tyrving
  Anne Eriksen (F, 1966) - Lia IL
  Heidi Solberg (F, 1962) - Løten IL
  Bente Bye (F, 1956) - IL Tyrving
  Ida Røhne Gundersen (F, 1961) - IL i BUL
  Anne Karen Knutsen (F, 1962) - IK Våg
  Sissel Norum (F, 1982) - Steinkjer FIK
  Unni Lund (F, 1953) - Narvik IL
  Bente Kvam (F, 1970) - IL Jotun
  Ingrid Johannessen (F, 1955) - IL i BUL, Tromsø
  Anne Lise Bakken (F, 1957) - IF Hellas
  Kristina Pettersen (F, 1971) - Åssiden IF
  Langøigjelten (F, None) - 
  Waitz (F, None) - 
  Rakstad (F, None) - 
  Svinsholt (F, None) - 
  Voldnes (F, None) - 
  Bjelland (F, None) - 
  Heidi Kjeldsen Gundersen (F, 1966) - IF Eiker-Kvikk
  Fride Vullum (F, 1976) - Aure IL
  Mari-Louise Pabsdroff (F, 1981) - FIK Orion
  Stine Larsen (F, 1975) - BFG Fana
  Ragnhild Haugen (F, 1969) - Sogndal IL
  Ingrid Bjørkmo (F, 1993) - Rana FIK
  Hanne Sofie Pedersen (F, 1972) - Romedal IL
  Anne Nyland (F, 1958) - Ullensaker-Kisa IL
  Jorunn Iren Ellefsen (F, 1961) - Eik IF
  Kristine Vandbakk (F, 1987) - Steinkjer FIK
  Celine Brun Lie (F, 1988) - IK Tjalve
  Anita Karlsen (F, 1971) - Asker Skiklubb
  Tonje Helle (F, 1987) - IK Tjalve
  Hilde Mikalsen (F, 1970) - Bossmo & Ytteren IL
  Ingunn Blom Hagen (F, 1968) - Romedal IL
  Anne Strand (F, 1968) - FIK Orion
  Kristiansen (F, None) - 
  C. Sørum (F, 1968) - IL Skjalg
  Laila Greibesland (F, 1992) - Otra IL
  Anne Gro Reppesgård Hansen (F, 1961) - Larvik TIF
  Gro Kristin Arnesen (F, 1967) - IF Eiker-Kvikk
  Victoria Solberg (F, 1980) - IL Yrjar
  Anita Sognnes (F, 1964) - Svint IL
  Halle (F, None) - 
  Hilde Meuche Brevad Gundersen (F, 1964) - Høybråten & Stovner IL
  Frøy Skavraker Evju (F, 1995) - Tønsberg FIK
  Inger Lise Bjerkreim Nilsen (F, 1988) - Bækkelagets SK
  Marianne Bøe (F, 1966) - Lillehammer IF
  Kristin Lie (F, 1971) - SK Vidar
  Berit Hansen Johannessen (F, 1953) - Romerikslagets IL
  Anne Mette Myhre (F, 1968) - Nittedal IL
  G. Kirkeberg Mørk (F, 1964) - Høybråten & Stovner IL
  Håkenstad (F, None) - 
  Kleppe (F, None) - 
  V. Hausken (F, 1973) - FIK BFG Fana
  K. Hausken (F, 1948) - Haugesund IL
  M. Sørum (F, None) - 
  A.M. Kirkeberg (F, 1961) - Høybråten & Stovner IL
  Alfheim (F, None) - 
