New Athletes Report - 2026-02-13 12:28:16
Total: 430 new athletes
============================================================

  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Geir Ndure (M, 1969) - Moss IL
  Moen (M, 1969) - 
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Moen (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Moen (M, 1969) - Moss IL
  Moen (M, 1969) - Moss IL
  Moen (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Moen (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  Moen (M, 1969) - Moss IL
  Moen (M, 1969) - Moss IL
  Ndure (M, 1969) - Moss IL
  John Okeke (M, 1977) - Raufoss IL
  John Moen (M, 1977) - Raufoss IL
  John Moen (M, 1977) - Raufoss IL
  John Moen (M, 1977) - Raufoss IL
  John Moen (M, 1977) - Raufoss IL
  John Moen (M, 1977) - Raufoss IL
  John Ndure (M, 1977) - Raufoss IL
  John Ndure (M, 1977) - Raufoss IL
  John Kjensli (M, 1977) - Raufoss IL
  John Moen (M, 1977) - Raufoss IL
  John Ndure (M, 1977) - Raufoss IL
  John Moen (M, 1977) - Raufoss IL
  John Sivle (M, 1977) - Raufoss IL
  John Kjensli (M, 1977) - Raufoss IL
  Sæterstøl (M, 1975) - 
  Moen (M, 1975) - IL Gular
  Sivle (M, 1975) - IL Gular
  Moen (M, 1975) - IL Gular
  Moen (M, 1975) - IL Gular
  Okeke (M, 1975) - IL Gular
  Okeke (M, 1975) - IL Gular
  Ndure (M, 1975) - IL Gular
  Ndure (M, 1975) - IL Gular
  Ndure (M, 1975) - IL Gular
  Sæterstøl (M, 1975) - 
  Moen (M, 1975) - IL Gular
  Moen (M, 1975) - IL Gular
  Moen (M, 1975) - IL Gular
  Ertzgaard (M, 1975) - IL Gular
  Okeke (M, 1975) - IL Gular
  Fernando Moen (M, 1974) - IL i BUL
  Fernando Moen (M, 1974) - IL i BUL
  Fernando Ndure (M, 1974) - IL i BUL
  Fernando Moen (M, 1974) - IL i BUL
  Fernando Moen (M, 1974) - IL i BUL
  Fernando Ertzgaard (M, 1974) - IL i BUL
  Fernando Moen (M, 1974) - IL i BUL
  Fernando Moen (M, 1974) - IL i BUL
  Fernando Okeke (M, 1974) - IL i BUL
  Fernando Moen (M, 1974) - IL i BUL
  Fernando Ertzgaard (M, 1974) - IL i BUL
  Fernando Okeke (M, 1974) - IL i BUL
  Fernando Ndure (M, 1974) - IL i BUL
  Fernando Ertzgaard (M, 1974) - IL i BUL
  Fernando Ertzgaard (M, 1974) - IL i BUL
  Fernando Okeke (M, 1974) - IL i BUL
  Fernando Kjensli (M, 1974) - IL i BUL
  Sæterstøl (M, 1974) - 
  Ertzgaard (M, 1974) - IL i BUL
  Ertzgaard (M, 1974) - IL i BUL
  Ertzgaard (M, 1974) - IL i BUL
  Ndure (M, 1974) - IL i BUL
  Ndure (M, 1974) - IL i BUL
  Ndure (M, 1974) - IL i BUL
  Moen (M, 1974) - IL i BUL
