New Athletes Report - 2026-02-13 14:04:21
Total: 34 new athletes
============================================================

  Ivar Vosseteig (M, 1951) - TIF Viking, Bergen
  Sverre Hansen (M, 1999) - IF Torodd
  Kjell Erik Andersen (M, 1942) - Lena IF
  John Kr. Johnsen (M, 1944) - IL vestar
  Richard Nuland (M, 2001) - Haugesund IL
  Rune Nilsen (M, 1923) - IL i BUL
  Johan Johannesen (M, 1998) - SK Brann
  Christian Thomassen (M, 1977) - IK Tjalve
  Yngvar Olsen Eyoll (M, 1998) - IF Torodd
  Einar Ræder (M, 1996) - Kristiania IF
  Hans Fredrik Holter (M, 1937) - IK Tjalve
  Helge Løvland (M, 1990) - IF Ørnulf
  Albert Jacobsen (M, 1993) - Torshaug IF
  Carstein Hauge (M, 2000) - Studenternes IF
  Rolf Svendsen (M, 1907) - SK Sleipner
  Lars Næss (M, 1933) - SK Freidig
  Arne Olsen (M, 1910) - SK Oslo-Ørn
  Karl Johan Hansen (M, 1910) - Laksevåg TIL
  Thomas Lund (M, 1908) - Narve IL
  Johan Palm (M, 1993) - Kristiania TF
  Ferdinand Bie (M, 1988) - Kristiania IF
  Einar Svendsen (M, 2001) - IL Viking, Stavanger
  Harald Håvik (M, 1914) - Haugesund IL
  Magne Høgås (M, 1934) - Fitjar IL
  Nils Fixdal (M, 1989) - Haugesund IL
  Arild Johan Larsen (M, 1948) - TIF Viking, Bergen
  Stein Eriksen (M, 1961) - Imås IL
  Vegard Stokke (M, 1988) - Bergens TF
  Georg Iversen (M, 1997) - Handelsgymnasets IF
  Odd Larsen (M, 1932) - IL Staal
  Fritz Fredriksen (M, 1998) - Ekeberg IF
  Johan Skaaluren (M, 1984) - Kristiania IF
  Fredrik H. Johansen (M, 1916) - Moss IL
  Svein Erik Pedersen (M, 1943) - IL Tyrving
