New Athletes Report - 2026-02-13 15:38:11
Total: 199 new athletes
============================================================

  Per Oscar Andersen (M, 1903) - IF Ørnulf
  Naskkim (M, None) - 
  Helge T. Larsen (M, 1965) - IL Gular
  Reidar Langkjær (M, 1951) - IK Tjalve
  Ole Eilif Jensen (M, 1963) - IL Nybrott
  Leif Cato Larsen (M, 1973) - Lillehammer IF
  Pål Johansen (M, 1967) - Sandnessjøen IL
  Bjørn Kristian Berge (M, 1955) - IK Tjalve
  Ole Jakob H. Nielsen (M, 1980) - Fredrikstad IF
  Bjørn Bogsti (M, 1956) - IF Hellas
  Øystein Lie (M, 1973) - Ski IL
  Per Uno Iversen (M, 1946) - IF Tønsberg-Kameratene
  Martin Kristiansen (M, 1986) - Søgne IL
  Øystein Pettersen (M, 1978) - IL Fri
  Stein Eriksen (M, 1961) - Sørild FIK
  Einar-Andre Jakobsen (M, 1986) - Sørbråten IL
  Erik Lund (M, 1963) - Larvik TIF
  Rolf Omar Olsen (M, 1951) - Larvik FIK
  Tobias Sommernes (M, 1995) - Rana FIK
  Thor Christiansen (M, 1942) - SK Vidar
  Christian Borgen (M, 1933) - TIF Viking, Bergen
  Helge Christensen (M, 1929) - TIF Viking, Bergen
  Lars Storhaug (M, 1935) - Klepp IL
  Arne Dahl (M, 1932) - IL Varden
  Helge Løvland (M, 1990) - IF Ørnulf
  Gunnar Larssen (M, 1998) - IK Tjalve
  Arne Holtan (M, 1938) - IF Torodd
  Rolf Svendsen (M, 1907) - SK Sleipner, Oslo
  Ferdinand Bie (M, 1988) - Kristiania IF
  Leif Olsen (M, 1907) - Bergens TF
  Ottar Haugen (M, 1960) - Askøy O-lag
  Thomas Lund (M, 1908) - IL Narve
  Hans Fredrik Holter (M, 1937) - Fredrikstad IF
  Odd Jarl Pedersen (M, 1944) - Kristiansands IF
  Ole Trond Berg (M, 1944) - IL Vestar
  P. Nicolaisen (M, 1961) - IK Tjalve
  Thomas Karlsen (M, 1984) - Modum FIK
  Per Olav Stoum (M, 1963) - Bodø FIK
  Lars Kristian Nygaard (M, 1966) - Sigdal FIK
  Jon Gerald Nilsen (M, 1984) - Kristiansands IF
  Anders Odden Pedersen (M, 1991) - Dimna IL
  Håkon Marius Kvæken (M, 1961) - Løten IL
  Geir Fjeld (M, 1967) - Sarpsborg IL
  Erik Skogen (M, 1965) - IL Fri
  Martin Eide (M, 1972) - Haugesund IL
  Atle S. Hansen (M, 1965) - Fredrikstad IF
  Thor Volla (M, 1929) - IK Tjalve
  Ivar Valstad (M, 1998) - SK Freidig
  Ragnar Johansen (M, 1925) - IL i BUL
  Terje Sejrup (M, 1952) - IL Gneist
  Odd Grønli (M, 1946) - IF Sturla
  Tor Bjørnar Olsen (M, 1950) - Raumnes & Årnes IL
  Arne Hugo Hansen (M, 1957) - Tromsdalen UIL
  Hans Petter Larsen (M, 1956) - IF Hellas
  Lars Johannessen (M, 1951) - Lunner IL
  Bjørn Ingvar Jensen (M, 1966) - Ullensaker-Kisa IL
  Jens A. Brekke (M, 1951) - Vik IL
  Jan Gunnar Berger (M, 1952) - Rødenes IL
  Hein Rune Skjoldal (M, 1949) - IL Fri
  Per Amdahl (M, 1953) - Frol IL
  Trond Haugland (M, 1971) - FIL AKS-77
  Tom Christiansen (M, 1952) - Lørenskog FIL
  Sverre Olsen (M, 1947) - Sørbråten IL
  Per Teigen (M, 1949) - IF Torodd
  Vegard Andre Hansen (M, 1978) - SK Vidar
  Tomas Fritsvold (M, 1977) - SK Vidar
  Mathias Furre Grøtan (M, None) - Steinkjer FIK
  Ole Loftesnes (M, 1962) - IF Minerva
  Ole Jacob Birkeland (M, 1970) - Odda IL
  Magnus Svean Pedersen (M, 1983) - Trondheim FIK
  Terje Danielsen (M, 1959) - Aksla IL
  Kolbjørn Høgåsen (M, 1962) - Vågå IL
  Knut Erik Johnsen (M, 1980) - Askim IF
  Svein Olsen (M, 1962) - IK Grane
  Tor Magnus Hansen (M, 1971) - Fredrikstad IF
  Morten Olsen (M, 1961) - Stovnerkameratene
  Jan Ove Ødegård (M, 1966) - FIL Jarl
  Sverre Helgesen (M, 2003) - IK Tjalve
  Christian Eriksen (M, 1971) - IK Tjalve
  Endre Olsen (M, 1979) - Flekkefjord IF
  Øystein Aa (M, None) - Gloppen FIL
  Fritz Warendorph (M, 1994) - IF Ørnulf
  Harald Lund (M, 1939) - SK Freidig
  Truls Pettersen (M, 1946) - Ringerike FIK
  Jon Arne Roald (M, 1960) - IL Valder
  Roger Wisth Olsen (M, 1970) - Larvik FIK
